word,m,C,D_steps53,D_steps106,match
golden-per8,2,12,0,1,False
golden-per8,3,12,1,1,True
golden-per8,4,12,1,1,True
golden-per8,5,12,2,2,True
golden-per8,6,12,2,2,True
golden-per8,7,12,2,2,True
golden-per8,8,12,3,3,True
golden-per8,9,12,3,3,True
golden-per8,10,12,3,4,False
golden-per8,11,12,4,4,True
golden-per8,12,12,4,4,True
golden-per8,13,12,5,5,True
sqrt2-per12,2,12,1,1,True
sqrt2-per12,3,12,1,1,True
sqrt2-per12,4,12,2,2,True
sqrt2-per12,5,12,3,3,True
sqrt2-per12,6,12,3,3,True
sqrt2-per12,7,12,4,4,True
sqrt2-per12,8,12,4,4,True
sqrt2-per12,9,12,5,5,True
sqrt2-per12,10,12,5,6,False
sqrt2-per12,11,12,6,6,True
sqrt2-per12,12,14,7,7,True
sqrt2-per12,13,14,7,7,True
golden-tile8,2,12,0,1,False
golden-tile8,3,12,1,2,False
golden-tile8,4,12,1,2,False
golden-tile8,5,12,2,3,False
golden-tile8,6,12,3,3,True
golden-tile8,7,12,3,3,True
golden-tile8,8,12,4,4,True
golden-tile8,9,12,4,4,True
golden-tile8,10,12,4,5,False
