C,measurement_tier,measured_zero_birth_m,formula_M_edge_plus_1,matches_formula_exactly,raw_observed_m1_lifetime,note,source
3,GENUINE_full_sweep,10,10,True,,,/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
4,GENUINE_full_sweep,13,13,True,,,/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
5,GENUINE_full_sweep,15,15,True,,"zero-birth point m=15 was confirmed at DEPTH 50 (not the standard depth 2000 used for m=1..13), after the depth-1169 m=14 run was manually killed once its live count returned to 0; see LOCK3_PRECISION_COUNTDOWN_GRID.md 'Observed boundary probes'. Still a direct zero-birth observation, just at reduced depth budget for the confirming run.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
6,INFERRED_m1_only_plus_linear_countdown_assumption,17,17,True,16,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
7,INFERRED_m1_only_plus_linear_countdown_assumption,20,20,True,19,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
8,INFERRED_m1_only_plus_linear_countdown_assumption,22,22,True,21,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
9,INFERRED_m1_only_plus_linear_countdown_assumption,25,25,True,24,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
10,INFERRED_m1_only_plus_linear_countdown_assumption,27,27,True,26,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
11,INFERRED_m1_only_plus_linear_countdown_assumption,29,29,True,28,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
12,INFERRED_m1_only_plus_linear_countdown_assumption,32,32,True,31,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
13,INFERRED_m1_only_plus_linear_countdown_assumption,34,34,True,33,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
14,INFERRED_m1_only_plus_linear_countdown_assumption,37,37,True,36,"zero-birth m was NEVER DIRECTLY OBSERVED for this C; implied_cutoff = observed_m1_lifetime + 1, valid only if the linear countdown slope (-1 per unit m), established only at C=3,4,5, also holds here.",/mnt/ForgeRealm/collatz-experimental-data/LOCK3_PRECISION_COUNTDOWN_GRID.md
