C,M_edge_value,formula_value,status,tool_artifact,notes
1,4,4,MEASURED,lock3_census (Rust) full per-m ladder to desert edge; LOCK3_BIRTH_INVARIANT_AUDIT.md (2026-05-24); embedding/small_side_live_sets/*.npz witness cross-check,"K=5 (desert at m=5), Lock3_birth_audit + embedding npz C1_m4/m5"
2,7,7,MEASURED,lock3_census (Rust) full per-m ladder to desert edge; LOCK3_BIRTH_INVARIANT_AUDIT.md (2026-05-24); embedding/small_side_live_sets/*.npz witness cross-check,"K=8 (desert at m=8), Lock3_birth_audit + embedding npz C2_m7/m8"
3,9,9,MEASURED,lock3_census (Rust) full per-m ladder to desert edge; LOCK3_BIRTH_INVARIANT_AUDIT.md (2026-05-24); embedding/small_side_live_sets/*.npz witness cross-check,"K=10 (desert at m=10), full m=1..10 ladder, Lock3_c3/ + npz C3_m9/m10"
4,12,12,MEASURED,lock3_census (Rust) full per-m ladder to desert edge; LOCK3_BIRTH_INVARIANT_AUDIT.md (2026-05-24); embedding/small_side_live_sets/*.npz witness cross-check,"K=13 (desert at m=13), full m=1..13 ladder, Lock3_c4/MANIFEST.md + npz C4_m12/m13"
5,14,14,MEASURED,lock3_census (Rust) full per-m ladder to desert edge; LOCK3_BIRTH_INVARIANT_AUDIT.md (2026-05-24); embedding/small_side_live_sets/*.npz witness cross-check,"K=15 (desert at m=15, confirmed at reduced depth 50), npz C5_m14/m15/m16"
6,16,16,DERIVED,"lock3_census (Rust), data/runs/lock3_C6_N2000_residue_m1_lineage_cohorts_20260523_220034/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
7,19,19,DERIVED,"lock3_census (Rust), data/runs/lock3_C7_N2000_residue_m1_lineage_cohorts_20260523_220055/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
8,21,21,DERIVED,"lock3_census (Rust), data/runs/lock3_C8_N2000_residue_m1_lineage_cohorts_20260524_010942/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
9,24,24,DERIVED,"lock3_census (Rust), data/runs/lock3_C9_N2000_residue_m1_lineage_cohorts_20260523_220055/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
10,26,26,DERIVED,"lock3_census (Rust), data/runs/lock3_C10_N2000_residue_m1_lineage_cohorts_20260524_011032/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
11,28,28,DERIVED,"lock3_census (Rust), data/runs/lock3_C11_N2000_residue_m1_lineage_cohorts_20260524_011032/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
12,31,31,DERIVED,"lock3_census (Rust), data/runs/lock3_C12_N2000_residue_m1_lineage_cohorts_20260524_011032/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
13,33,33,DERIVED,"lock3_census (Rust), data/runs/lock3_C13_N2000_residue_m1_lineage_cohorts_20260524_011032/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
14,36,36,DERIVED,"lock3_census (Rust), data/runs/lock3_C14_N2000_residue_m1_lineage_cohorts_20260524_011032/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
15,38,38,DERIVED,"lock3_census (Rust), data/runs/lock3_C15_N2000_residue_m1_lineage_cohorts_20260524_011032/, residue_mod_power=1 (coarse mod-3 proxy, m1 only)","zero-birth m NEVER directly observed for this C; value is observed_m1_lifetime + 1 == formula, matching only because the linear countdown slope (-1/unit m, proven ONLY at C=3,4,5) is assumed, not measured, at this C. Per LOCK3_PRECISION_COUNTDOWN_GRID.md: 'Only m1 has been checked for C6-C50 in this series.' Per beatty/task1_measured_widths.csv (prior round's own honest tiering): tier=INFERRED_m1_only_plus_linear_countdown_assumption."
